player_name,position,team,conf,games_played,game_min_%,pts_per_game,field_goal_% ,3_pt_%,Free_throw_%,offensive_rebound_per_game,defensive_ rebound_per_game,AST_per_game,stl_per_game,blk_per_game,offensive_rating,usage,classification,year
Omari Moore,Combo G,San Jose St.,MWC,19,75.4,7.4286,46.7,0.269,0.436,2.8,13.7,22.6,3.1,3,85.5,17.2,Jr,2022
Kyle Thompson,Combo G,La Salle,A10,1,0.2,1.5,150,1,0,0,0,0,0,0,300,6.7,Jr,2022
Marcus Larsson,C,Illinois Chicago,Horz,12,36.1,8.3333,45.5,0,0.739,4.4,32.7,8.3,1.5,3.1,90.1,20.2,Jr,2022
Ben Daugherty,Combo G,Elon,CAA,7,2.8,0.25,20,0,0,0,6.1,9.4,3,0,45.5,15.4,Jr,2022
Blake Lampman,Combo G,Oakland,Horz,23,20.8,2.4348,34.3,0.233,0.833,2.1,6.8,4.1,2.6,0,82.9,14,Jr,2022
Jason Thompson,Wing F,Houston Baptist,Slnd,19,28.4,3.15,45.5,0.192,0.571,2.8,10.2,4.8,0.6,1.5,92.8,12.6,Jr,2022
Daniel Oladapo,PF/C,Pittsburgh,ACC,30,81.6,12.8667,56.9,0,0.532,12.1,17.1,10.8,1.8,0.8,105.6,20.8,Sr,2022
Emmanuel Newsome,PF/C,Oakland,Horz,11,3.1,0.5455,25,0,1,5.7,15.3,4.6,3,0,60.1,16.9,Jr,2022
CJ Gettelfinger,Combo G,Tennessee Tech,OVC,20,19.5,1.9,50,0.273,0.583,1.7,11.2,16.6,1.3,1.5,81.9,14.3,Jr,2022
Yusuf Jihad,Stretch 4,Eastern Michigan,MAC,17,7.3,1.4706,46,0.429,0.5,8.4,10.3,4.3,0,2.5,82,18.8,So,2022
Dimon Carrigan,C,West Virginia,B12,20,42.8,6.7917,60.7,0,0.553,15,22.2,7.5,2.6,12.6,112.7,18.5,Sr,2022
Brant Ulmer,PF/C,Florida Atlantic,CUSA,1,0.1,0.4,0,0,0,0,0,0,0,0,0,0,Jr,2022
Joe Jones III,,Georgia St.,SB,30,36,,50.6,0,0.611,9.2,15.9,2,0.6,4,109.1,12,So,2022
Idan Tretout,,Harvard,Ivy,15,9.5,,45.5,0.286,0.765,3.2,7.1,23.5,2.7,1,112.1,25.6,So,2022
Isaiah Thompson,Combo G,Purdue,B10,28,44,4.1786,54.7,0.397,0.75,2.6,6.3,9.7,0.6,0,118.1,11.7,Jr,2022
Luka Sakota,,Harvard,Ivy,19,10.5,,48.4,0.333,0.75,1,10.1,10.8,0,0.9,95.7,17.8,So,2022
Tommy O'Neil,,Harvard,Ivy,6,1.2,,125,1,0,0,15.7,14.4,4.2,0,246.6,6.5,So,2022
Sean Conway,Wing F,VMI,SC,22,79.4,10.2917,54.7,0.389,0.84,4.2,16.3,7,1,1.2,108,15.5,Jr,2022
