player_name,position,team,conf,games_played,game_min_%,pts_per_game,field_goal_% ,3_pt_%,Free_throw_%,offensive_rebound_per_game,defensive_ rebound_per_game,AST_per_game,stl_per_game,blk_per_game,offensive_rating,usage,classification,year
Isaiah Felder,Wing G,South Carolina St.,MEAC,11,17.6,2.3636,34.7,0.25,0.5,2.5,15.7,8.1,0.9,0,61.1,18.6,Sr,2022
Jalen Coleman-Lands,Wing G,Kansas,B12,23,78.5,14.3043,54,0.395,0.861,3.6,10.2,7.8,1.4,0.3,103.1,21.5,Sr,2022
K.J. Walton,Wing G,Akron,MAC,20,63,16.35,54.3,0,0.793,9.1,12.6,8.9,2.4,0.7,108.6,26.5,Sr,2022
Jeriah Horne,Stretch 4,Tulsa,Amer,32,61.3,10.8125,55.2,0.397,0.906,5.8,23,7.5,1.5,0.3,116,20.8,Sr,2022
Eric Curry,Wing F,Minnesota,B10,29,39.2,3.6552,46.3,0.19,0.621,7,13.7,10.2,2.9,1.5,95.1,14.7,Sr,2022
Jailyn Ingram,Stretch 4,Georgia,SEC,18,59.2,12.4091,46,0.357,0.727,5.3,22.7,14.7,1.8,1.8,98.4,23.5,Sr,2022
Quentin Jackson Jr.,Scoring PG,Loyola Marymount,WCC,6,11.4,3.8333,47.6,0.444,0.75,1.3,3.8,9.6,2.3,0,95.7,13.5,Sr,2022
Charlie Moore,Scoring PG,Miami FL,ACC,16,67.1,14.375,47.4,0.346,0.762,2.5,9.6,28.2,1.9,0,96.3,26.6,Sr,2022
Ben Shungu,Combo G,Vermont,AE,15,73,10.8,51.9,0.302,0.864,2.3,15.9,23,1.6,1.1,114.7,20.4,Sr,2022
Keon Clergeot,Combo G,Southeastern Louisiana,Slnd,24,72.7,15.875,47.1,0.333,0.802,2.6,9.1,15.7,1.7,0.3,101.5,25.9,Sr,2022
Bryce Aiken,Scoring PG,Seton Hall,BE,14,18.4,5.7143,38.9,0.27,0.889,0,7.5,20.9,1.5,0,99.5,23.5,Sr,2022
Peter Kiss,Wing G,Bryant,NEC,21,82.9,16.6364,56.9,0.422,0.87,5.3,14.4,18.1,2.6,0.8,114,22.5,Sr,2022
George Willborn III,Wing G,UC Riverside,BW,21,34.6,5.2857,52.8,0.429,0.607,5.2,11.6,4.4,2.7,0.4,102.7,19.2,Sr,2022
Kevin Marfo,C,Quinnipiac,MAAC,17,29.9,2.6471,46.4,0,0.704,12.8,23.2,4.7,3.1,4,97,15,Sr,2022
Jair Bolden,Wing G,Butler,BE,25,81.4,10.52,46.2,0.341,0.732,1.4,12.3,6.1,1.3,0.7,96.7,17.8,Sr,2022
Joey Brunk,,Ohio St.,B10,32,48.7,,52.2,0,0.446,9.8,20.4,6.7,0.6,2,101.1,19.4,Sr,2022
Davion Mintz,Combo G,Kentucky,SEC,25,76.4,11.52,51.2,0.381,0.656,2.7,8.4,20.6,1.9,0.7,105.9,19.8,Sr,2022
Tyson Jolly,Wing G,Iona,MAAC,8,28.5,9.25,50.9,0.391,0.6,4.2,17.2,5.7,0.6,2.4,95,20.3,Sr,2022
AJ Wilson,PF/C,South Carolina,SEC,20,52,7.7619,41.5,0.25,0.5,8,17.6,7.3,0.5,9.8,90.2,22.5,Sr,2022
Xavier Green,Wing G,Maryland,B10,22,84.5,6.6957,39.1,0.298,0.733,2.3,10.8,12.3,1.4,1,80.8,15.5,Sr,2022
Tareq Coburn,Wing G,St. John's,BE,21,75,15.0952,56.5,0.396,0.82,3.9,9.1,5.1,2.2,2.6,120.9,19.4,Sr,2022
Tavian Dunn-Martin,Scoring PG,Florida Gulf Coast,ASun,18,75.4,10.1667,43.9,0.304,0.762,0.8,8.1,23.7,1.9,0,92.8,21.6,Sr,2022
Jakolby Long,Combo G,Bethune Cookman,SWAC,12,6.2,1.1538,50,0,0.833,2,12,9.4,2.9,1.9,89.3,14.9,Sr,2022
Taze Moore,Combo G,Houston,Amer,21,49.8,12.2609,51.8,0.514,0.823,5.4,17.5,25.8,3.7,3.4,105.7,29.8,Sr,2022
Justin Edler-Davis,Wing G,Cal St. Bakersfield,BW,24,68,9.3077,50.8,0.385,0.809,7,11.4,5.8,0.9,1,114.3,17.2,Sr,2022
Greg Lee,PF/C,Penn St.,B10,20,68.3,12.9524,52.7,0.25,0.66,6.7,23.7,22.8,0.5,0.8,99.5,28.5,Sr,2022
Brandon Johnson,Stretch 4,DePaul,BE,28,61.4,8.8571,50,0.255,0.714,8.4,17.9,5.4,1.8,2.6,114.7,16.5,Sr,2022
Nick Robinson,Wing G,Western Carolina,SC,6,14.5,9.125,44.7,0.25,0.9,3.8,15.5,16.7,2.7,1.5,93.5,19.1,Sr,2022
Grant Golden,PF/C,Richmond,A10,20,63.2,12.7143,58.8,0.5,0.667,5.1,21.5,26.6,1.2,2,108,26.3,Sr,2022
De'Monte Buckingham,Wing G,UNC Greensboro,SC,24,47.5,7.0769,43.7,0.29,0.824,6.2,20.6,13.3,1.6,0.6,103.7,21,Sr,2022
Nick Sherod,,Richmond,A10,31,73.1,,57.8,0.438,0.805,2.6,17.8,10.5,1.8,0.3,115.4,19.2,Sr,2022
Chance Garvin,Scoring PG,Idaho,BSky,12,25.4,3.3333,44.4,0.313,0,2.8,12.6,19.2,2.1,1,74.1,16.7,Sr,2022
Perry Francois,C,Charlotte,CUSA,21,44.8,7.3333,55.4,0,0.486,8.2,13.6,13.3,1.4,5.6,100,18.9,Sr,2022
Vittorio Reynoso-Avila,PF/C,Santa Clara,WCC,8,2.2,0,0,0,0,13.2,12.7,0,0,6,90.6,4.4,Sr,2022
Randy Miller Jr.,Wing G,North Carolina Central,MEAC,24,51.1,6.4,39.5,0.302,0.75,0.7,10.1,7.1,1.6,0,84.1,19.3,Sr,2022
Ryan Gomes,C,Houston Baptist,Slnd,20,20,2.2381,52.9,0,0.556,5.7,13.3,3.9,0.3,6.4,78.6,14.2,Sr,2022
Nolan Taylor,PF/C,Southeast Missouri St.,OVC,18,29.7,8.7778,55.7,0,0.625,8.6,18.2,12.5,0.9,0.7,110.6,23.2,Sr,2022
Scott Spencer,Wing G,Tulane,Amer,19,38.3,7,51.3,0.432,0.583,4.4,13.1,6.4,1.6,0.3,93,19.4,Sr,2022
Algevon Eichelberger,Wing F,Cleveland St.,Horz,19,27.8,6.1579,45.6,0.333,0.667,12,12,14.3,1.5,1.6,98,25,Sr,2022
Eron Gordon,Wing G,Valparaiso,MVC,26,72.6,6.8214,48.6,0.329,0.677,1.4,19.6,10.3,1.4,1.6,91.7,15.1,Sr,2022
Mitch Lightfoot,C,Kansas,B12,29,26.4,3.4,52.6,0.25,0.615,10.7,14.4,2.5,0.6,7.6,96.7,18.7,Sr,2022
Nate Johnson,Combo G,Xavier,BE,16,58.4,11.375,57.9,0.452,0.8,2.8,11.6,9.5,2.2,0.2,112.7,16.5,Sr,2022
Drew Buggs,Scoring PG,Winthrop,BSth,26,33.8,1.8462,35.3,0.2,0.522,1.3,8.5,23.4,1.8,1.2,84.1,13.4,Sr,2022
Devin Kirby,C,Montana St.,BSky,18,28.2,1.5,64.3,0,0.231,8.8,9.2,5.2,0.2,1.9,110.5,7,Sr,2022
Keith Fisher III,,Pepperdine,WCC,29,59.3,,47.6,0.375,0.614,11,18.3,7.9,1.5,1.3,92.3,24.8,Sr,2022
Ben Coupet Jr.,Wing G,Southern Illinois,MVC,25,80.6,10.3462,55.4,0.377,0.716,4,9.6,12.5,2,1,111.3,16.3,Sr,2022
Kenny Cooper,Scoring PG,Tennessee St.,OVC,24,31.3,2.5,34.7,0.259,0.633,1.3,8.6,19.8,2.4,0.9,82.2,14.8,Sr,2022
James Scott,Combo G,Eastern Michigan,MAC,18,75.9,13.7273,45.1,0.347,0.611,5.2,14.6,23,3,0.2,92.7,30.3,Sr,2022
Nick Hopkins,Combo G,Siena,MAAC,11,54.6,7.8182,56.1,0.375,0.75,2,8.8,5.6,2.3,0,122.4,10.4,Sr,2022
DeAndre Dishman,Wing G,Middle Tennessee,CUSA,22,59.4,6.3478,40.6,0,0.563,6.6,16.8,9.5,3.6,1,83.7,19.6,Sr,2022
Osinachi Smart,C,College of Charleston,CAA,17,64.5,4.8947,64.8,0,0.567,10.9,19.2,1.7,1.4,2,115.1,11.9,Sr,2022
Corey Allen,Wing G,Georgia St.,SB,20,79.3,14.9545,55.4,0.405,0.839,1.9,12.3,15.3,1.1,0.3,112.1,21.3,Sr,2022
Justin Hopkins,Wing G,Texas Southern,SWAC,25,72.5,8.2692,46.2,0.298,0.753,5.2,9.2,7.6,1.6,0.3,104,15.3,Sr,2022
Damien Sears,PF/C,Southern,SWAC,22,25.5,3.0435,71.8,0,0.526,11.5,19.6,5.4,2.4,2.1,114.2,13.6,Sr,2022
Patrick Tape,C,San Francisco,WCC,10,4.6,1.1,38.5,0,0.25,15.3,13.2,7.4,6.4,4.7,79,22.1,Sr,2022
Jordan Bell,PF/C,Pacific,WCC,17,64.5,8.9444,52.6,0.333,0.556,6.3,27.9,6.6,2.5,4.2,107.2,17.7,Sr,2022
Jalen Dupree,PF/C,Tennessee St.,OVC,11,25.3,8.0833,50.7,0.286,0.6,14.1,15.1,12,0.6,5.1,92.6,27.8,Sr,2022
Abdul Ado,C,Cincinnati,Amer,33,68.2,5.9394,55.4,0,0.667,11.3,16.8,4.8,1.4,8.4,105.8,12.9,Sr,2022
Jaylen Fornes,Wing G,UNC Wilmington,CAA,20,44.3,9.2857,50.7,0.377,0.66,3.9,11.7,6.5,1.5,0.2,105.1,19.6,Sr,2022
Stafford Trueheart,PF/C,Hofstra,CAA,7,5.9,2,45.5,0.333,1,4.1,12.5,6.4,0,7.9,118.8,12.4,Sr,2022
Dejuan Clayton,Scoring PG,Hartford,AE,16,66.9,14.875,41.6,0.282,0.783,0.7,8.9,28.3,2.1,0,99.3,22.2,Sr,2022
Trevor Anderson,Combo G,Valparaiso,MVC,29,33,3.1379,63.7,0.542,0.667,2.2,9.5,16.3,0.9,0,123.1,11.7,Sr,2022
Rodney Miller Jr.,C,Miami FL,ACC,5,2.2,0.4,0,0,0.5,9.5,0,0,4.9,4.7,51.5,14.1,Sr,2022
Brevin Galloway,Scoring PG,Boston College,ACC,4,13.7,15,54.1,0.419,0.7,1.3,14.6,29.8,3.9,2.6,109.1,34.5,Sr,2022
Chevez Goodwin,C,USC,P12,33,36.7,5.6061,53.8,0,0.534,10.5,15.8,6.3,1.2,2.3,102.2,21,Sr,2022
Mike Henn,Wing F,Denver,Sum,18,63.3,7.8095,53.5,0.4,0.76,2.5,13.5,10.7,0.8,0.7,96.8,15,Sr,2022
Ty Graves,Scoring PG,North Carolina Central,MEAC,13,24.6,1.8571,29.3,0.25,1,1.8,4.6,6,1.4,0,67.4,12.9,Sr,2022
Jeremy Sheppard,Scoring PG,Rhode Island,A10,24,71.6,11.3333,56.1,0.394,0.767,2,9,19.2,2.3,0.2,107.6,19.1,Sr,2022
Shawn Williams,Wing G,Arkansas Pine Bluff,SWAC,7,9.2,3.5714,36.2,0.294,0.8,2.4,7.2,3.6,0,0,88.8,16,Sr,2022
Ty Groce,Wing F,Butler,BE,15,83.7,15.1667,56.7,0.348,0.74,5.6,18.7,13.9,2.3,2.8,115.5,21.8,Sr,2022
Chris Lester,Wing F,New Hampshire,AE,18,33.1,3,31.4,0.2,0.64,7.4,9.1,6.4,1.2,0,88.3,15.2,Sr,2022
Dimencio Vaughn,Wing F,Rider,MAAC,16,9.8,1.6875,39.3,0.167,0.385,6.3,19.5,6.8,3.2,1.1,64.6,22.9,Sr,2022
Ahsante Shivers,Combo G,Southern,SWAC,10,36.9,10,43.2,0.298,0.667,2.1,12.4,9.4,2.9,1.1,89.6,19.8,Sr,2022
Shandon Goldman,Stretch 4,Tennessee Tech,OVC,27,58.3,7.4815,54.1,0.339,0.432,5.9,16.8,13.9,1.4,1.9,96.8,18.7,Sr,2022
Andre Jones,Wing G,Louisiana Monroe,SB,21,58.7,10.8636,48.5,0.196,0.733,2,18.3,21.9,2.1,1.5,95.7,24,Sr,2022
Josh Parrish,Wing G,San Diego,WCC,14,68.5,10.5,56.1,0.286,0.628,4.4,10.6,13.2,1.7,1,103,19.5,Sr,2022
Tyler Stewart,Stretch 4,St. Francis PA,NEC,11,13.5,4.2727,46.4,0.412,0.8,8.4,15.4,7,1.9,0.9,81.5,26.3,Sr,2022
Nysier Brooks,C,Mississippi,SEC,27,68.1,7.4074,51.7,0,0.641,9.9,14.3,5.7,1.4,4,104.5,16.1,Sr,2022
C.J. Keyser,Wing G,Old Dominion,CUSA,13,78.9,16.5714,49.2,0.32,0.692,2.5,11,13.1,1.4,1.6,97.4,27,Sr,2022
Jordan Jones,C,Marist,MAAC,21,53.5,9.4286,59.1,0,0.618,10.6,18.1,9.6,1.6,11.1,102.1,24.7,Sr,2022
Precious Ayah,PF/C,Miami OH,MAC,22,30.7,3.2174,57.6,0,0.714,10.9,15.2,3.5,1.7,5.6,104.8,15.7,Sr,2022
Andrew Garcia,PF/C,Kent St.,MAC,25,42.8,8.6538,53.6,0.167,0.761,13.4,12.6,5.9,1.8,1.7,106.2,23.9,Sr,2022
Michael Almonacy,Combo G,Appalachian St.,SB,25,80,12.6552,51.6,0.345,0.774,1.5,13.6,20.8,2.3,0.4,107.8,22.1,Sr,2022
Darian Adams,Combo G,Jacksonville St.,OVC,25,85.6,15.7037,51,0.351,0.768,2.5,12.2,17.4,1.5,0.1,103.4,24.3,Sr,2022
Jannson Williams,PF/C,Eastern Kentucky,ASun,22,59.9,9.4091,53.4,0.328,0.654,3.3,16.1,2.5,1.5,8.7,106,17.4,Sr,2022
Josh Ayeni,PF/C,Chattanooga,SC,21,29.7,5.5217,52.5,0,0.733,8.1,12.5,2.9,1,1.1,103,22.2,Sr,2022
Joshua Tomiac,PF/C,San Diego St.,MWC,27,38.7,4.5714,53.1,0.217,0.694,11.3,13.4,7.8,2.3,4.1,110.4,17.6,Sr,2022
Jared Chatham,PF/C,Central Arkansas,Slnd,23,63.7,9.0417,46.8,0.182,0.778,9.2,21.1,5.7,1.1,2.4,91.6,20.6,Sr,2022
Jacob Young,Scoring PG,Oregon,P12,28,75,14.1429,51.7,0.369,0.726,1.1,5.9,23.3,3.3,0.3,98,27,Sr,2022
Andrew Jones,Wing G,Texas,B12,26,74.5,14.5769,49.1,0.34,0.831,2.3,13.2,15.2,1.9,0.3,104,24.1,Sr,2022
Seth Towns,Stretch 4,Ohio St.,B10,25,21.7,3.76,52,0.341,0.833,4.9,17.4,4.8,1.1,2.1,113.9,16.5,Sr,2022
Mikey Dixon,Wing G,Idaho,BSky,20,59,8.2609,43,0.275,0.804,1.7,8.2,10.2,0.5,0,104,18.5,Sr,2022
John Pettway,Wing G,Tennessee Tech,OVC,24,87.6,10.7143,53.7,0.333,0.617,4.8,7.8,10.5,2.2,1.4,97.6,18.4,Sr,2022
Kellon Taylor,Wing F,McNeese St.,Slnd,16,79.7,9.875,50.8,0,0.582,5.1,16.8,12.7,1.2,0.7,94.1,19.8,Sr,2022
Chuba Ohams,C,Fordham,A10,1,2.9,6,42.9,0,0,14.2,30.4,0,0,0,69.3,30.3,Sr,2022
Najee Garvin,Wing F,Hampton,BSth,23,62.2,13.3333,47.2,0.154,0.659,6.5,22.8,5.2,2.1,1.2,94.1,27,Sr,2022
Evan Clayborne,PF/C,UNC Asheville,BSth,19,55.3,7.6842,61.1,0,0.286,8.6,21.2,6.3,0.9,7.3,100.4,18,Sr,2022
Jake Killingsworth,Wing G,UC San Diego,BW,14,74.2,8.4118,51.7,0.362,0.647,4.1,12.1,11.6,1.4,1,110.3,13.8,Sr,2022
Ty Flowers,Stretch 4,LIU Brooklyn,NEC,18,83.1,17.2778,51.5,0.293,0.667,7.1,18.9,23.1,3.1,3.6,107.9,24.9,Sr,2022
Brison Gresham,C,Texas Southern,SWAC,31,43,2.9677,56.3,0,0.444,8.5,11,3.3,1.8,10.9,107.3,10.4,Sr,2022
Damari Parris,Wing G,Prairie View A&M,SWAC,15,15.1,2.4667,38.5,0.188,0,5.2,11.7,8.7,2.2,0,81.3,19.7,Sr,2022
Dallas Walton,PF/C,Wake Forest,ACC,26,30.2,6.4615,59.5,0.474,0.845,6.8,16,6.7,1.9,5,120,20.2,Sr,2022
Xavier Bishop,Scoring PG,Montana St.,BSky,21,81.2,13.9091,44.8,0.358,0.778,0.7,11.4,25.2,1.3,0,100.2,25.5,Sr,2022
Dylan Painter,C,Delaware,CAA,14,76.1,13.4667,51.5,0,0.726,13.7,30.4,14.2,0.7,3.7,106.6,26.5,Sr,2022
John Hall,Stretch 4,UMass Lowell,AE,18,46.2,3.8636,38.1,0.156,0.526,4.2,15.1,6.2,1.7,2.1,75.2,16.1,Sr,2022
Brock Bertram,C,Buffalo,MAC,18,30.4,3.1667,62.5,0,0.538,14,14.2,2,2.2,6.4,127.4,9.5,Sr,2022
Harrison Henderson,PF/C,Central Michigan,MAC,19,45.7,8.6842,48.8,0.2,0.648,12,27.2,5.1,1.6,2.1,99.4,24.7,Sr,2022
Bitumba Baruti,Wing F,Florida Atlantic,CUSA,16,54.9,6.7647,46,0.319,0.571,5.5,13.4,8.5,2.5,3.6,98.6,14.9,Sr,2022
Sammy Friday IV,C,Eastern Illinois,OVC,21,33.7,8.8571,60,0,0.6,13.1,16.5,4.9,0.9,2.4,112.5,23.5,Sr,2022
Xzavier Malone-Key,,Oregon St.,P12,26,64.9,,54.6,0.357,0.663,2.5,10.4,14.4,1,0.4,107.5,21.8,Sr,2022
Khadim Sy,Stretch 4,Wake Forest,ACC,14,13.8,3.0714,47.7,0.313,1,6.7,12.3,5.1,2.3,3.1,97.3,16,Sr,2022
Braun Hartfield,,Pepperdine,WCC,31,85.4,,48.2,0.308,0.661,5,13.4,14.4,1.7,1.7,91.9,23.9,Sr,2022
Daron Henson,PF/C,Seattle,WAC,13,9.8,1.4706,21.7,0.095,0.833,8.2,15,2.4,1.5,0,76.2,17.1,Sr,2022
Koby McEwen,Combo G,Weber St.,BSky,27,74.6,10.2222,47.2,0.336,0.759,1.1,12,19.9,1.3,0.8,97.6,20.7,Sr,2022
Justin Roberts,Combo G,Niagara,MAAC,14,45.5,7.3571,48.1,0.365,0.897,0.9,11.8,9.6,1.2,0,109.4,14.7,Sr,2022
Jason Carter,Stretch 4,Ohio,MAC,21,65.8,5.5238,41.2,0.182,0.55,8.4,15.7,9.3,1.4,2.8,98.2,14.6,Sr,2022
Tre Clark,Wing G,Rice,CUSA,19,23,1.9524,28.1,0,0.25,6.6,12.1,7.3,2.7,3.5,63.1,12,Sr,2022
Kameron McGusty,Combo G,Miami FL,ACC,20,61.4,13.3,50,0.32,0.821,1.7,11.3,18.7,2.2,0.2,99.9,22.5,Sr,2022
Jordan Shepherd,Combo G,California,P12,24,83.2,11.92,48.3,0.271,0.731,0.8,12.1,19.7,2.2,1.3,95.8,22.2,Sr,2022
Frederick Scott,Wing F,Boston College,ACC,7,15.9,7.5714,48.9,0.4,0.5,3.4,21.6,6.5,2.6,1.6,84.3,24.9,Sr,2022
Johnny McCants,Stretch 4,New Mexico St.,WAC,17,63.8,10,54.7,0.339,0.698,13.1,13.7,14.2,2.4,4.1,121,21.2,Sr,2022
Rasheem Dunn,Scoring PG,Robert Morris,Horz,22,58.3,9.3636,42.5,0.156,0.691,1.2,10,23.1,2.6,0.2,92.3,20.6,Sr,2022
Tommy Kuhse,Scoring PG,Saint Mary's,WCC,24,89.3,12.75,44.3,0.279,0.797,2,10.5,31,2.6,0.5,100.3,24.3,Sr,2022
Elijah Thomas,Wing G,Cal Baptist,WAC,19,66.1,10.6957,56.6,0.36,0.689,8.8,15.6,13.9,2.3,0,107.8,20,Sr,2022
Juwan Gray,Stretch 4,Towson,CAA,5,17.5,7.2,48.3,0.273,0.875,4.3,16.2,4.8,0.9,0.9,103.6,15.3,Sr,2022
Nikola Djogo,Wing F,Northeastern,CAA,24,44.5,5.0417,65.8,0.409,0.875,4,13.4,7.7,1.2,2.3,128.3,11.7,Sr,2022
Colby Leifson,Scoring PG,Utah Valley,WAC,13,11.7,3.3571,60,0.4,1,0,3.5,8.5,0.6,0,111.4,18.2,Jr,2022
Aher Uguak,Wing G,Loyola Chicago,MVC,29,61,7.2581,65.6,0.323,0.764,5.3,15.1,8.8,2.4,0.2,119.2,14.7,Sr,2022
Bryson Williams,PF/C,Texas Tech,B12,20,74.8,14.4783,48.5,0.259,0.844,5.7,21.4,6.3,1,1.6,101.1,24.3,Sr,2022
Jacob Davison,Wing G,Cal Poly,BW,21,47.9,9.8636,45.6,0.341,0.833,2.6,11.2,12.3,1.7,1.4,94.2,25.8,Sr,2022
Everett Winchester,Wing G,Florida Atlantic,CUSA,19,56.2,5.5455,42.9,0.294,0.583,5.6,17.5,14.2,1.6,0.8,88.2,18.4,Sr,2022
A.J. Lawson,Scoring PG,Texas Southern,SWAC,17,73.3,11.7826,47.8,0.324,0.561,5.3,14.9,33.9,1.4,0.4,91.4,26,Sr,2022
Dontay Bassett,Stretch 4,Weber St.,BSky,18,45.1,8.8421,47.3,0.273,0.862,7.6,17.2,6.4,1.2,5.1,107.7,22.5,Sr,2022
David Jean-Baptiste,Combo G,Chattanooga,SC,21,75.1,16.0909,52.7,0.381,0.794,2.1,9.2,16.9,2.7,0.7,102.7,24.7,Sr,2022
Rodney Chatman,Scoring PG,Vanderbilt,SEC,12,39.3,7.9167,48.1,0.222,0.531,0.7,8.3,22.9,3,0.6,84.5,20.3,Sr,2022
Makale Foreman,Scoring PG,California,P12,28,51.3,7.2069,44,0.316,0.886,1.5,5.7,15,1.3,0,94,21.5,Sr,2022
Chuck Champion,Wing G,Albany,AE,16,44.5,6.125,50.6,0.267,0.7,2.3,15.4,14,2.6,0,89.7,21.6,Sr,2022
Sam Green,Stretch 4,Howard,MEAC,4,66.9,6.2,38.1,0.235,0.75,1,16.2,6.6,1,5.2,73,13,Sr,2022
Reginald Gee,Wing G,Louisiana Monroe,SB,20,44.7,9.0909,44.6,0.302,0.778,2.5,12.6,5,1.3,0.8,100.9,19.2,Sr,2022
Ray Salnave,Combo G,UMBC,AE,19,57.8,6.2632,37.5,0.286,0.852,2.6,11.2,10.5,2.3,0.3,82.3,18.5,Sr,2022
Payton Willis,Combo G,Minnesota,B10,17,85,13.4211,55.5,0.419,0.69,1.9,10.5,19.1,1.4,1.3,111.5,21,Sr,2022
John Fulkerson,C,Tennessee,SEC,25,62.1,9.48,52.7,0,0.747,6.7,16.8,12.5,1.1,2.6,112.2,18.2,Sr,2022
Clevon Brown,Wing F,FIU,CUSA,17,31.9,3.3529,52.1,0.188,0.5,3.6,14.7,2.9,2,5.3,88.1,11.1,Sr,2022
Jalen Johnson,Stretch 4,Mercer,SC,20,37.2,4.9524,47.7,0.328,0.765,4.8,14.7,7.5,1.7,3.7,101.6,17.2,Sr,2022
Lazaro Rojas,PF/C,UT Arlington,SB,9,9.7,4.0833,44.4,0,0.75,5.6,14.9,4.3,2.5,2.2,96.9,12.6,Sr,2022
Quan Jackson,Wing G,UAB,CUSA,23,60.4,10.84,48.2,0.298,0.537,2.4,19.1,10.6,4.2,1.4,96.9,20.8,Sr,2022
Bryce Nze,PF/C,Butler,BE,23,70.3,11.3913,53.4,0.442,0.471,8.5,22.9,15.9,1.1,2.2,100.1,22.9,Sr,2022
Mason Faulkner,Scoring PG,Louisville,ACC,22,73.5,16.9545,51.9,0.362,0.762,3.5,15.5,28.8,2,0.1,105.1,27.7,Sr,2022
Seventh Woods,Scoring PG,Morgan St.,MEAC,18,40.7,5.3889,39,0.185,0.667,1.2,9.1,18.6,3.1,0.3,76.8,20.3,Sr,2022
Aaron Cook,Combo G,Georgia,SEC,30,31.4,4.2333,57.8,0.35,0.657,2.2,11.2,17.3,3.5,1,106,17.5,Sr,2022
Arkel Lamar,,UMKC,Sum,5,17.3,,49,0.333,0.75,1.9,28.7,3.4,1.8,6.9,102.4,21.4,Sr,2022
Patrick Good,,Winthrop,BSth,30,57.1,,50.8,0.352,0.821,1.9,9.7,11.9,2.9,0,112.7,16,Sr,2022
Salif Boudie,C,UMass Lowell,AE,23,34.7,6.5652,63.3,0,0.628,9.7,22.1,9.1,1.6,6.6,107.2,23.5,Sr,2022
Jahmiah Simmons,,North Texas,CUSA,26,12.9,,50,0,1,11.1,12.6,4.9,0.8,1.7,102.1,14.1,Sr,2022
Christian Willis,Combo G,Arkansas St.,SB,19,50.4,6.9545,50,0.512,0.625,3.5,7.5,10,1.2,1.2,98.7,17,Sr,2022
Te'Jon Lucas,Scoring PG,BYU,WCC,22,78.2,14.9091,43.6,0.275,0.73,2.5,14.1,36.7,2,1,97.8,29.8,Sr,2022
Jordan Bohannon,Scoring PG,Iowa,B10,31,72.6,10.5806,54.5,0.39,0.889,0.5,10.3,23.9,1.1,0,119.6,17.7,Sr,2022
Milos Jovic,Wing G,Miami OH,MAC,20,18.8,1.0476,23,0.214,0.5,0.7,9,9,1.8,0.7,59.4,15,Sr,2022
Justin Kier,Combo G,Arizona,P12,25,77.1,9.52,48.7,0.366,0.75,1.3,11.9,12.9,2.9,0.3,94.7,16.7,Sr,2022
Nana Akenten,Wing F,Southeast Missouri St.,OVC,27,65.5,9.2593,51.2,0.353,0.744,4.6,21.6,7.9,2.7,1.6,94.6,19.1,Sr,2022
Thomas Allen,Combo G,North Carolina St.,ACC,17,44.8,7.4118,47,0.379,0.789,1.9,9.4,10.9,2.9,0.5,98.7,16.3,Sr,2022
LaDavius Draine,Wing G,Tulsa,Amer,23,71.1,8.48,44.3,0.321,0.69,2,15.2,14.1,1.9,0,82.8,19.4,Sr,2022
Trey Wade,Stretch 4,Arkansas,SEC,20,66.2,6.6818,49.2,0.317,0.6,7.3,14.7,10.4,1.2,2.8,108.7,14.7,Sr,2022
Kyle Young,Wing F,Ohio St.,B10,27,56.6,8.6296,58.3,0.433,0.846,8.2,15.7,9.1,1,2.4,133.8,14.8,Sr,2022
Anthony Gaines,Wing G,Siena,MAAC,23,51.7,3.9167,50.7,0.32,0.714,4.9,17.6,9,1.7,1.5,99,12.2,Sr,2022
David Maynard,Wing G,The Citadel,SC,16,21.2,2.3125,47.2,0.316,0.6,3.4,11,6.6,2.8,0.7,96,15.1,Sr,2022
Pauly Paulicap,C,West Virginia,B12,19,54.9,7.1579,55.4,0,0.6,12.7,16.6,1,1.3,6.5,102,17.5,Sr,2022
Andrew Platek,Wing G,Siena,MAAC,29,32.8,3.6897,48.9,0.327,0.833,5.7,7.7,11.1,1.9,1.4,104.1,15,Sr,2022
Jason Strong,Stretch 4,Northeastern,CAA,18,62.2,9.2778,56,0.372,0.75,1.8,16.5,7.2,0.9,1.1,103.8,17.4,Sr,2022
Tomas Murphy,Stretch 4,Vermont,AE,11,17.2,6.6364,57.7,0.526,0.929,6.1,21.3,7.3,1.7,1.2,104.1,33,Sr,2022
Brandon McKissic,Scoring PG,Florida,SEC,17,74.1,17.2222,57.6,0.429,0.667,2.4,12.4,23.7,2.8,0.5,103.8,28.9,Sr,2022
Jack Perry,Scoring PG,Portland,WCC,19,45.4,4.25,72.2,0.524,0.636,1.2,6.4,11.5,1.5,0,121.4,9.4,Sr,2022
Ra Kpedi,C,Fort Wayne,Horz,23,29.7,3.4783,66.7,0,0.558,16.9,16.3,0.6,0.8,1.6,114.7,15.4,Sr,2022
Bailey Patella,Wing G,Vermont,AE,15,44.1,4.9333,59.4,0.333,0.688,2.9,16.6,13.4,3.4,3.3,118.6,13.9,Sr,2022
Emmanuel Akot,Wing F,Boise St.,MWC,23,51.8,8.75,46.8,0.341,0.636,1.9,14.6,20.5,1.9,2.1,95,22.3,Sr,2022
Alex Barcello,Scoring PG,BYU,WCC,26,79.8,16.0741,60.5,0.472,0.853,1.8,13.7,25.7,1.8,0,123.3,22.4,Sr,2022
